"lang_n","area","x1","int","area_ints","lang_ints","error","effect","response"
33,"area_2",2.76,0.46,4.5463857367568,0.463918257203706,0.39432461982832,8.28,14.1446286137888
34,"area_2",2.97,0.46,4.5463857367568,1.34074634791353,3.40843017583462,8.91,18.6655622605049
35,"area_2",4.2,0.46,4.5463857367568,2.86196861211333,-0.970651021703888,12.6,19.4977033271662
36,"area_2",2.35,0.46,4.5463857367568,1.26962161792109,13.6360490574478,7.05,26.9620564121257
37,"area_2",3.58,0.46,4.5463857367568,1.67184715450307,-9.22865178767158,10.74,8.18958110358829
38,"area_2",0.92,0.46,4.5463857367568,-1.70959526026137,-10.1782359052374,2.76,-4.12144542874199
39,"area_2",3.17,0.46,4.5463857367568,0.428939074137469,-19.7958906554382,9.51,-4.85056584454397
40,"area_2",1.53,0.46,4.5463857367568,-0.119796212645304,28.1827885182536,4.59,37.6593780423651
41,"area_3",3.99,0.46,8.36604896367474,1.75379268729755,-4.02165018043791,11.97,18.5281914705344
42,"area_3",3.79,0.46,8.36604896367474,-1.29110020945761,0.963595463318104,11.37,19.8685442175352
43,"area_3",1.74,0.46,8.36604896367474,-2.07677417646596,3.60812336449274,5.22,15.5773981517015
44,"area_3",0.3,0.46,8.36604896367474,-1.15876764294114,4.78500766248353,0.9,13.3522889832171
45,"area_3",1.94,0.46,8.36604896367474,-1.16801589557426,6.63874861767578,5.82,20.1167816857763
46,"area_3",0.51,0.46,8.36604896367474,-1.48580648842533,9.10500669624442,1.53,17.9752491714938
47,"area_3",3.38,0.46,8.36604896367474,1.36927898755722,5.98952201629733,10.14,26.3248499675293
48,"area_3",2.15,0.46,8.36604896367474,-1.92859215543623,11.3704621961,6.45,24.7179190043385
49,"area_3",0.71,0.46,8.36604896367474,-2.74702785357887,-6.42403388173486,2.13,1.784987228361
50,"area_3",1.33,0.46,8.36604896367474,-0.993311580512272,-4.35776336195278,3.99,7.46497402120969
51,"area_3",1.12,0.46,8.36604896367474,-1.23259699088589,8.34056747447907,3.36,19.2940194472679
52,"area_3",2.56,0.46,8.36604896367474,1.88733029051921,-6.55089119485161,7.68,11.8424880593423
53,"area_3",2.76,0.46,8.36604896367474,0.463918257203706,-7.96709852012457,8.28,9.60286870075388
54,"area_3",2.97,0.46,8.36604896367474,1.34074634791353,9.66064546991795,8.91,28.7374407815062
55,"area_3",4.2,0.46,8.36604896367474,2.86196861211333,-7.65462892277019,12.6,16.6333886530179
56,"area_3",2.35,0.46,8.36604896367474,1.26962161792109,-13.6446882503031,7.05,3.50098233129278
57,"area_3",3.58,0.46,8.36604896367474,1.67184715450307,-4.85085507431704,10.74,16.3870410438608
58,"area_3",0.92,0.46,8.36604896367474,-1.70959526026137,8.82480102431144,2.76,18.7012547277248
59,"area_3",3.17,0.46,8.36604896367474,0.428939074137469,-1.42713629609829,9.51,17.3378517417139
60,"area_3",1.53,0.46,8.36604896367474,-0.119796212645304,-9.82470348482698,4.59,3.47154926620245
61,"area_4",3.99,0.46,-8.06649649548895,1.75379268729755,4.80021875182012,11.97,10.9175149436287
62,"area_4",3.79,0.46,-8.06649649548895,-1.29110020945761,-2.5183037207077,11.37,-0.0459004256542652
63,"area_4",1.74,0.46,-8.06649649548895,-2.07677417646596,15.562938276783,5.22,11.0996676048281
64,"area_4",0.3,0.46,-8.06649649548895,-1.15876764294114,7.95562567919,0.9,0.0903615407599072
65,"area_4",1.94,0.46,-8.06649649548895,-1.16801589557426,-2.17263912769808,5.82,-5.12715151876129
66,"area_4",0.51,0.46,-8.06649649548895,-1.48580648842533,-4.23232977753448,1.53,-11.7946327614488
67,"area_4",3.38,0.46,-8.06649649548895,1.36927898755722,-11.7242124435438,10.14,-7.82142995147556
68,"area_4",2.15,0.46,-8.06649649548895,-1.92859215543623,13.3394842146172,6.45,10.2543955636921
69,"area_4",0.71,0.46,-8.06649649548895,-2.74702785357887,-1.64931733863069,2.13,-9.87284168769851
70,"area_4",1.33,0.46,-8.06649649548895,-0.993311580512272,-2.90684435339954,3.99,-7.51665242940076
71,"area_4",1.12,0.46,-8.06649649548895,-1.23259699088589,1.94792374192282,3.36,-3.53116974445202
72,"area_4",2.56,0.46,-8.06649649548895,1.88733029051921,-0.743485057875398,7.68,1.21734873715486
73,"area_4",2.76,0.46,-8.06649649548895,0.463918257203706,-19.9271032822706,8.28,-18.7896815205558
74,"area_4",2.97,0.46,-8.06649649548895,1.34074634791353,18.1182691619397,8.91,20.7625190143642
75,"area_4",4.2,0.46,-8.06649649548895,2.86196861211333,-6.47699466393848,12.6,1.3784774526859
76,"area_4",2.35,0.46,-8.06649649548895,1.26962161792109,14.2279517577002,7.05,14.9410768801324
77,"area_4",3.58,0.46,-8.06649649548895,1.67184715450307,1.2939344765183,10.74,6.09928513553242
78,"area_4",0.92,0.46,-8.06649649548895,-1.70959526026137,13.0958633964854,2.76,6.5397716407351
79,"area_4",3.17,0.46,-8.06649649548895,0.428939074137469,-5.08894877404504,9.51,-2.75650619539652
80,"area_4",1.53,0.46,-8.06649649548895,-0.119796212645304,-5.43378531977591,4.59,-8.57007802791016
81,"area_5",3.99,0.46,2.41351198487843,1.75379268729755,-14.4267835074919,11.97,2.17052116468411
82,"area_5",3.79,0.46,2.41351198487843,-1.29110020945761,-17.0302554365765,11.37,-4.07784366115567
83,"area_5",1.74,0.46,2.41351198487843,-2.07677417646596,2.67357667767236,5.22,8.69031448608483
84,"area_5",0.3,0.46,2.41351198487843,-1.15876764294114,7.58500022064912,0.9,10.1997445625864
85,"area_5",1.94,0.46,2.41351198487843,-1.16801589557426,-13.0611865724061,5.82,-5.53569048310193
86,"area_5",0.51,0.46,2.41351198487843,-1.48580648842533,-16.6512222176203,1.53,-13.7335167211672
87,"area_5",3.38,0.46,2.41351198487843,1.36927898755722,-9.29329223813076,10.14,5.08949873430489
88,"area_5",2.15,0.46,2.41351198487843,-1.92859215543623,-1.90837375398009,6.45,5.4865460754621
89,"area_5",0.71,0.46,2.41351198487843,-2.74702785357887,-2.18773973006058,2.13,0.0687444012389729
90,"area_5",1.33,0.46,2.41351198487843,-0.993311580512272,-15.1575888603238,3.99,-9.28738845595763
91,"area_5",1.12,0.46,2.41351198487843,-1.23259699088589,-8.45175003508145,3.36,-3.45083504108891
92,"area_5",2.56,0.46,2.41351198487843,1.88733029051921,-17.9350390405322,7.68,-5.49419676513457
93,"area_5",2.76,0.46,2.41351198487843,0.463918257203706,10.1190336371658,8.28,21.736463879248
94,"area_5",2.97,0.46,2.41351198487843,1.34074634791353,-3.97910752381153,8.91,9.14515080898042
95,"area_5",4.2,0.46,2.41351198487843,2.86196861211333,5.65603532520841,12.6,23.9915159222002
96,"area_5",2.35,0.46,2.41351198487843,1.26962161792109,-7.86588923609304,7.05,3.32724436670648
97,"area_5",3.58,0.46,2.41351198487843,1.67184715450307,-4.67788495173076,10.74,10.6074741876507
98,"area_5",0.92,0.46,2.41351198487843,-1.70959526026137,-12.3939436282385,2.76,-8.47002690362143
99,"area_5",3.17,0.46,2.41351198487843,0.428939074137469,3.22696829209183,9.51,16.0394193511077
100,"area_5",1.53,0.46,2.41351198487843,-0.119796212645304,12.2357893506561,4.59,19.5795051228893
101,"area_6",3.99,0.46,3.51845447098632,1.75379268729755,-2.99105075257988,11.97,14.711196405704
102,"area_6",3.79,0.46,3.51845447098632,-1.29110020945761,20.1761654257809,11.37,34.2335196873096
103,"area_6",1.74,0.46,3.51845447098632,-2.07677417646596,-11.53495676316,5.22,-4.41327646863963
104,"area_6",0.3,0.46,3.51845447098632,-1.15876764294114,-2.15066098111551,0.9,1.56902584692966
105,"area_6",1.94,0.46,3.51845447098632,-1.16801589557426,3.24667306528796,5.82,11.8771116407
106,"area_6",0.51,0.46,3.51845447098632,-1.48580648842533,-13.3795293226239,1.53,-9.35688134006286
107,"area_6",3.38,0.46,3.51845447098632,1.36927898755722,-2.8773705266962,10.14,12.6103629318473
108,"area_6",2.15,0.46,3.51845447098632,-1.92859215543623,14.5605897873294,6.45,23.0604521028795
109,"area_6",0.71,0.46,3.51845447098632,-2.74702785357887,3.30401586610852,2.13,6.66544248351597
110,"area_6",1.33,0.46,3.51845447098632,-0.993311580512272,-1.01086055924718,3.99,5.96428233122686
111,"area_6",1.12,0.46,3.51845447098632,-1.23259699088589,12.8829560838842,3.36,18.9888135639847
112,"area_6",2.56,0.46,3.51845447098632,1.88733029051921,-21.8586144581447,7.68,-8.31282969663913
113,"area_6",2.76,0.46,3.51845447098632,0.463918257203706,-5.2106906319762,8.28,7.51168209621382
114,"area_6",2.97,0.46,3.51845447098632,1.34074634791353,10.8350669197078,8.91,25.0642677386077
115,"area_6",4.2,0.46,3.51845447098632,2.86196861211333,-12.2675547195633,12.6,7.1728683635364
116,"area_6",2.35,0.46,3.51845447098632,1.26962161792109,0.713387229205609,7.05,13.011463318113
117,"area_6",3.58,0.46,3.51845447098632,1.67184715450307,-9.86009146341588,10.74,6.5302101620735
118,"area_6",0.92,0.46,3.51845447098632,-1.70959526026137,-2.33503100906823,2.76,2.69382820165672
119,"area_6",3.17,0.46,3.51845447098632,0.428939074137469,-2.39590986328088,9.51,11.5214836818429
120,"area_6",1.53,0.46,3.51845447098632,-0.119796212645304,-12.5042399176075,4.59,-4.05558165926646
121,"area_7",3.99,0.46,6.6288445631623,1.75379268729755,8.07505346836179,11.97,28.8876907188216
122,"area_7",3.79,0.46,6.6288445631623,-1.29110020945761,-10.8125927854891,11.37,6.35515156821556
123,"area_7",1.74,0.46,6.6288445631623,-2.07677417646596,-2.77303479198887,5.22,7.45903559470747
124,"area_7",0.3,0.46,6.6288445631623,-1.15876764294114,-12.0912254362883,0.9,-5.2611485160671
125,"area_7",1.94,0.46,6.6288445631623,-1.16801589557426,2.30830979836576,5.82,14.0491384659538
126,"area_7",0.51,0.46,6.6288445631623,-1.48580648842533,16.252452482776,1.53,23.385490557513
127,"area_7",3.38,0.46,6.6288445631623,1.36927898755722,1.33625969865813,10.14,19.9343832493776
128,"area_7",2.15,0.46,6.6288445631623,-1.92859215543623,4.15855754601083,6.45,15.7688099537369
129,"area_7",0.71,0.46,6.6288445631623,-2.74702785357887,2.41469558942287,2.13,8.8865122990063
130,"area_7",1.33,0.46,6.6288445631623,-0.993311580512272,4.08607516408093,3.99,14.171608146731
131,"area_7",1.12,0.46,6.6288445631623,-1.23259699088589,7.3659440671157,3.36,16.5821916393921
132,"area_7",2.56,0.46,6.6288445631623,1.88733029051921,0.211229506438633,7.68,16.8674043601201
133,"area_7",2.76,0.46,6.6288445631623,0.463918257203706,5.47011256126702,8.28,21.302875381633
134,"area_7",2.97,0.46,6.6288445631623,1.34074634791353,-6.51335722789067,8.91,10.8262336831852
135,"area_7",4.2,0.46,6.6288445631623,2.86196861211333,5.91107639724964,12.6,28.4618895725253
136,"area_7",2.35,0.46,6.6288445631623,1.26962161792109,13.4474961496539,7.05,28.8559623307372
137,"area_7",3.58,0.46,6.6288445631623,1.67184715450307,5.8473856752174,10.74,25.3480773928828
138,"area_7",0.92,0.46,6.6288445631623,-1.70959526026137,-11.9982047659571,2.76,-3.85895546305618
139,"area_7",3.17,0.46,6.6288445631623,0.428939074137469,4.23980165675746,9.51,21.2675852940572
140,"area_7",1.53,0.46,6.6288445631623,-0.119796212645304,-10.6535879467991,4.59,0.905460403717936
141,"area_8",3.99,0.46,-20.6564817300615,1.75379268729755,-5.53923977425729,11.97,-12.0119288170212
142,"area_8",3.79,0.46,-20.6564817300615,-1.29110020945761,27.3512316495716,11.37,17.2336497100525
143,"area_8",1.74,0.46,-20.6564817300615,-2.07677417646596,5.80066801458188,5.22,-11.2525878919455
144,"area_8",0.3,0.46,-20.6564817300615,-1.15876764294114,0.859791994192663,0.9,-19.5954573788099
145,"area_8",1.94,0.46,-20.6564817300615,-1.16801589557426,-5.32555409535463,5.82,-20.8700517209903
146,"area_8",0.51,0.46,-20.6564817300615,-1.48580648842533,2.52145490666401,1.53,-17.6308333118228
147,"area_8",3.38,0.46,-20.6564817300615,1.36927898755722,-12.2623920026089,10.14,-20.9495947451131
148,"area_8",2.15,0.46,-20.6564817300615,-1.92859215543623,15.1562552266427,6.45,-0.518818658855011
149,"area_8",0.71,0.46,-20.6564817300615,-2.74702785357887,2.45368520025259,2.13,-18.3598243833877
150,"area_8",1.33,0.46,-20.6564817300615,-0.993311580512272,15.2874243845669,3.99,-1.91236892600687
151,"area_8",1.12,0.46,-20.6564817300615,-1.23259699088589,16.3480570958674,3.36,-1.7210216250799
152,"area_8",2.56,0.46,-20.6564817300615,1.88733029051921,-18.5787698408957,7.68,-29.207921280438
153,"area_8",2.76,0.46,-20.6564817300615,0.463918257203706,-17.7239038651815,8.28,-29.1764673380392
154,"area_8",2.97,0.46,-20.6564817300615,1.34074634791353,-10.6583193286709,8.91,-20.6040547108188
155,"area_8",4.2,0.46,-20.6564817300615,2.86196861211333,21.8889192208566,12.6,17.1544061029085
156,"area_8",2.35,0.46,-20.6564817300615,1.26962161792109,-7.91884995298238,7.05,-19.7957100651227
157,"area_8",3.58,0.46,-20.6564817300615,1.67184715450307,-1.18205258637707,10.74,-8.96668716193546
158,"area_8",0.92,0.46,-20.6564817300615,-1.70959526026137,3.16340243743433,2.76,-15.9826745528885
159,"area_8",3.17,0.46,-20.6564817300615,0.428939074137469,17.4547348642853,9.51,7.19719220836136
160,"area_8",1.53,0.46,-20.6564817300615,-0.119796212645304,-0.6668648859365,4.59,-16.3931428286433
161,"area_9",3.99,0.46,-9.38169404420344,1.75379268729755,-0.363733052846565,11.97,4.43836559024754
162,"area_9",3.79,0.46,-9.38169404420344,-1.29110020945761,1.73379393723076,11.37,2.8909996835697
163,"area_9",1.74,0.46,-9.38169404420344,-2.07677417646596,-10.3572156193841,5.22,-16.1356838400535
164,"area_9",0.3,0.46,-9.38169404420344,-1.15876764294114,-5.46723319729252,0.9,-14.6476948844371
165,"area_9",1.94,0.46,-9.38169404420344,-1.16801589557426,0.749931159660669,5.82,-3.51977878011703
166,"area_9",0.51,0.46,-9.38169404420344,-1.48580648842533,-14.1616586316919,1.53,-23.0391591643207
167,"area_9",3.38,0.46,-9.38169404420344,1.36927898755722,-5.34794587108671,10.14,-2.76036092773294
168,"area_9",2.15,0.46,-9.38169404420344,-1.92859215543623,-1.4243234025979,6.45,-5.82460960223758
169,"area_9",0.71,0.46,-9.38169404420344,-2.74702785357887,9.35967417679409,2.13,-0.179047720988232
170,"area_9",1.33,0.46,-9.38169404420344,-0.993311580512272,3.87876200873712,3.99,-2.0462436159786
171,"area_9",1.12,0.46,-9.38169404420344,-1.23259699088589,-10.8994443998221,3.36,-17.6937354349114
172,"area_9",2.56,0.46,-9.38169404420344,1.88733029051921,3.43240555745103,7.68,4.0780418037668
173,"area_9",2.76,0.46,-9.38169404420344,0.463918257203706,-18.3004100622764,8.28,-18.4781858492761
174,"area_9",2.97,0.46,-9.38169404420344,1.34074634791353,14.699856742302,8.91,16.0289090460121
175,"area_9",4.2,0.46,-9.38169404420344,2.86196861211333,2.8033481502103,12.6,9.34362271812019
176,"area_9",2.35,0.46,-9.38169404420344,1.26962161792109,3.72017565305594,7.05,3.11810322677359
177,"area_9",3.58,0.46,-9.38169404420344,1.67184715450307,-0.639336825969585,10.74,2.85081628433004
178,"area_9",0.92,0.46,-9.38169404420344,-1.70959526026137,-0.35664291447788,2.76,-8.22793221894269
179,"area_9",3.17,0.46,-9.38169404420344,0.428939074137469,-0.345123729881463,9.51,0.672121300052563
180,"area_9",1.53,0.46,-9.38169404420344,-0.119796212645304,11.5302068126385,4.59,7.07871655578975
181,"area_10",3.99,0.46,0.790066128770289,1.75379268729755,7.18911333088684,11.97,22.1629721469547
182,"area_10",3.79,0.46,0.790066128770289,-1.29110020945761,-16.5823473960779,11.37,-5.25338147676519
183,"area_10",1.74,0.46,0.790066128770289,-2.07677417646596,-7.52800212233756,5.22,-3.13471017003323
184,"area_10",0.3,0.46,0.790066128770289,-1.15876764294114,6.47874929927614,0.9,7.47004778510528
185,"area_10",1.94,0.46,0.790066128770289,-1.16801589557426,3.47090748696518,5.82,9.3729577201612
186,"area_10",0.51,0.46,0.790066128770289,-1.48580648842533,3.52862901448262,1.53,4.82288865482758
187,"area_10",3.38,0.46,0.790066128770289,1.36927898755722,-15.0440878711871,10.14,-2.28474275485957
188,"area_10",2.15,0.46,0.790066128770289,-1.92859215543623,5.19405880589725,6.45,10.9655327792313
189,"area_10",0.71,0.46,0.790066128770289,-2.74702785357887,-5.47350425207224,2.13,-4.84046597688082
190,"area_10",1.33,0.46,0.790066128770289,-0.993311580512272,11.8044591737572,3.99,16.0512137220152
191,"area_10",1.12,0.46,0.790066128770289,-1.23259699088589,-7.01036681309268,3.36,-3.63289767520829
192,"area_10",2.56,0.46,0.790066128770289,1.88733029051921,-15.8944787586287,7.68,-5.07708233933916
193,"area_10",2.76,0.46,0.790066128770289,0.463918257203706,-6.54799375223152,8.28,3.44599063374248
194,"area_10",2.97,0.46,0.790066128770289,1.34074634791353,-6.01337767114794,8.91,5.48743480553587
195,"area_10",4.2,0.46,0.790066128770289,2.86196861211333,-6.84320704768309,12.6,9.86882769320053
196,"area_10",2.35,0.46,0.790066128770289,1.26962161792109,-0.401744399196565,7.05,9.16794334749481
197,"area_10",3.58,0.46,0.790066128770289,1.67184715450307,-12.3157826581885,10.74,1.34613062508489
198,"area_10",0.92,0.46,0.790066128770289,-1.70959526026137,3.96775535225534,2.76,6.26822622076426
199,"area_10",3.17,0.46,0.790066128770289,0.428939074137469,-2.19316182971786,9.51,8.9958433731899
200,"area_10",1.53,0.46,0.790066128770289,-0.119796212645304,-8.7372740363072,4.59,-3.01700412018221
